97,99
0,96
1,0
2,0
3,0
4,0
5,0
6,0
7,96
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,98
23,0
24,96
25,0
26,0
27,0
28,96
29,0
30,96
31,96
32,0
33,0
34,0
35,0
36,98
37,96
38,98
39,0
40,96
41,0
42,96
43,98
44,0
45,96
46,0
47,0
48,0
49,0
50,96
51,96
52,0
53,0
54,0
55,0
56,98
57,96
58,0
59,96
60,98
61,96
62,98
63,0
64,98
65,98
66,0
67,96
68,96
69,96
70,96
71,96
72,98
73,96
74,98
75,96
76,96
77,96
78,96
79,96
80,0
81,96
82,96
83,96
84,98
85,0
86,0
87,0
88,0
89,98
90,0
91,0
92,0
93,0
94,0
95,0
96,98
97,0
99,98
96,99
0,19
1,0
2,0
3,0
4,0
5,81
6,81
7,0
8,0
10,0
11,0
12,19
13,0
14,9
15,0
16,0
17,0
18,0
19,81
20,0
21,0
22,9
23,9
24,19
25,19
26,19
27,0
28,9
29,9
30,0
31,9
32,9
33,0
34,0
35,0
36,0
37,0
38,81
39,81
40,0
41,9
42,0
43,0
44,0
45,0
46,19
47,0
48,0
49,0
50,9
51,0
52,9
53,0
54,0
55,81
56,0
57,9
58,9
59,9
60,0
61,0
62,0
63,81
64,9
65,9
66,19
67,0
68,9
69,0
70,0
71,0
72,9
73,9
74,9
75,19
76,81
77,9
78,9
79,9
80,9
81,9
82,0
83,19
84,9
85,81
86,9
87,0
88,0
89,9
90,9
91,9
92,0
93,9
94,9
95,9
96,19
97,9
98,81
99,19
94,99
0,50
1,62
2,0
3,62
4,44
5,62
6,62
7,62
9,0
10,8
11,62
12,1
13,62
14,50
15,1
16,0
17,0
18,8
19,8
20,62
21,1
22,1
23,0
24,1
25,62
26,8
27,50
28,8
29,0
30,8
31,8
32,0
33,8
34,8
35,8
36,1
37,1
38,8
39,0
40,1
41,8
42,8
43,0
44,62
45,1
46,8
47,1
48,0
49,0
50,44
51,8
52,0
53,50
54,1
55,8
56,1
57,8
58,44
59,8
60,62
61,1
62,8
63,0
64,8
65,1
66,8
67,1
68,8
69,0
70,0
71,8
72,8
73,8
74,8
75,8
76,1
77,62
78,8
79,62
80,0
81,1
82,8
83,8
84,1
85,62
86,8
87,8
88,0
89,8
90,62
91,1
92,8
93,0
94,0
95,62
96,8
97,8
98,62
99,1
94,99
0,57
1,10
2,1
3,83
4,96
5,96
6,83
7,1
8,57
9,1
10,83
11,1
12,79
13,1
14,57
15,96
16,1
17,1
18,79
19,96
20,10
21,1
22,1
23,96
24,1
25,57
26,1
27,57
28,96
29,96
30,96
31,96
32,96
33,96
34,96
35,1
36,96
37,96
38,57
39,96
40,1
41,96
42,57
43,96
44,96
45,1
46,96
47,96
48,79
49,96
50,79
51,96
52,96
53,79
54,96
55,96
56,96
57,79
58,10
59,96
60,57
61,96
62,96
63,96
64,10
65,96
66,10
67,96
68,10
69,96
70,83
71,96
72,96
73,1
74,96
75,96
76,1
77,96
78,83
79,96
80,1
81,96
82,96
83,96
84,96
85,96
86,96
87,10
88,96
89,96
90,1
91,79
92,96
93,1
94,96
95,96
97,96
98,96
99,96
93,99
0,7
1,0
2,7
3,99
4,64
5,0
6,0
7,99
8,72
9,0
11,64
12,72
13,10
14,99
15,72
16,0
17,0
18,0
19,10
20,10
21,0
22,10
23,0
24,0
25,10
26,10
27,7
28,72
29,72
30,0
31,0
32,10
33,10
34,10
35,27
36,72
37,0
38,72
39,0
40,0
41,10
42,7
43,10
44,0
45,10
46,7
47,72
48,10
49,10
50,7
51,0
52,72
53,72
54,7
55,72
56,64
57,10
58,72
59,10
60,0
61,10
62,0
63,10
64,72
65,10
66,7
67,0
68,0
69,10
70,10
71,10
72,10
73,10
74,72
75,10
76,7
77,10
78,10
79,7
80,10
81,10
82,0
83,72
84,7
85,72
86,10
87,72
88,72
89,72
90,10
91,7
92,10
93,72
94,10
95,0
96,72
97,10
98,10
99,64
